Gene,demo1
ENSG00000078399,336
ENSG00000162367,2214
ENSG00000135363,3578
ENSG00000166407,0
ENSG00000107807,0
ENSG00000164438,0
ENSG00000136352,0
ENSG00000210082,203002
ENSG00000198804,442876
ENSG00000198886,281778
ENSG00000211459,27368
ENSG00000283293,0
ENSG00000276168,255
ENSG00000274012,0
ENSG00000198938,185992
ENSG00000202198,0
ENSG00000244734,73335
ENSG00000005381,486612
ENSG00000198727,99613
ENSG00000156508,274020
ENSG00000198888,122464
ENSG00000198712,193490
ENSG00000198763,111289
ENSG00000090382,298984
ENSG00000251562,39283
ENSG00000198786,121388
ENSG00000198899,103657
ENSG00000075624,318059
ENSG00000019582,87599
ENSG00000122862,301397
ENSG00000263934,4
ENSG00000163220,269188
ENSG00000188536,11489
ENSG00000277209,0
ENSG00000170345,61349
ENSG00000167658,78128
ENSG00000200087,71
ENSG00000132475,54016
ENSG00000137818,36070
ENSG00000087086,74326
ENSG00000166710,140134
ENSG00000100316,48979
ENSG00000143384,33317
ENSG00000184009,132361
ENSG00000070756,84490
ENSG00000169429,14883
ENSG00000206172,3392
ENSG00000124942,33690
ENSG00000125740,12277
ENSG00000089157,42594
ENSG00000198034,48447
ENSG00000108107,32069
ENSG00000140988,60997
ENSG00000133112,50526
ENSG00000143546,119721
ENSG00000137154,58779
ENSG00000142541,42952
ENSG00000231500,30330
ENSG00000012223,218449
ENSG00000198840,25143
ENSG00000067082,23308
ENSG00000174444,56298
ENSG00000167526,41866
ENSG00000038427,28741
ENSG00000149273,48366
ENSG00000197746,75487
ENSG00000111640,72454
ENSG00000147403,27107
ENSG00000026025,31348
ENSG00000135046,26543
ENSG00000142534,42492
ENSG00000044574,28743
ENSG00000212907,16147
ENSG00000172232,87295
ENSG00000179218,39363
ENSG00000198695,20946
ENSG00000196924,116327
ENSG00000204628,36887
ENSG00000187514,54581
ENSG00000197561,40441
ENSG00000135486,36742
ENSG00000265972,19201
ENSG00000204287,44164
ENSG00000269900,0
ENSG00000138326,31571
ENSG00000177606,27078
ENSG00000205542,51469
ENSG00000177954,14418
ENSG00000234745,43225
ENSG00000145425,21527
ENSG00000148303,34270
ENSG00000128016,13038
ENSG00000197756,21779
ENSG00000120129,33646
ENSG00000277027,0
ENSG00000112306,23845
ENSG00000108654,46330
ENSG00000145592,21538
ENSG00000074800,73534
ENSG00000142937,30215
ENSG00000136167,77377
ENSG00000108298,46003
ENSG00000173812,25062
ENSG00000144713,24165
ENSG00000147604,25787
ENSG00000008988,25240
ENSG00000177600,16108
ENSG00000174748,30541
ENSG00000163682,20409
ENSG00000122406,36642
ENSG00000105640,23817
ENSG00000100448,85551
ENSG00000096384,37559
ENSG00000245532,16050
ENSG00000168028,37000
ENSG00000080824,59573
ENSG00000167978,36174
ENSG00000166441,32460
ENSG00000197958,25166
ENSG00000071082,11192
ENSG00000248527,25908
ENSG00000160255,33126
ENSG00000162244,18250
ENSG00000164587,16234
ENSG00000010327,2557
ENSG00000198755,21619
ENSG00000135821,24648
ENSG00000157514,19516
ENSG00000204525,47608
ENSG00000100345,105170
ENSG00000161016,28508
ENSG00000147065,78714
ENSG00000143947,14433
ENSG00000109971,49503
ENSG00000084234,37082
ENSG00000105372,18583
ENSG00000110321,29311
ENSG00000030582,83816
ENSG00000142676,32330
ENSG00000274266,0
ENSG00000213741,9462
ENSG00000163660,9807
ENSG00000196415,109017
ENSG00000120738,8444
ENSG00000264940,2
ENSG00000089009,26213
ENSG00000100201,40405
ENSG00000100906,6824
ENSG00000170889,22391
ENSG00000200312,0
ENSG00000105193,18364
ENSG00000083845,15805
ENSG00000163131,39811
ENSG00000063177,13795
ENSG00000131469,24509
ENSG00000118113,53495
ENSG00000085265,80431
ENSG00000215301,16783
ENSG00000171863,18745
ENSG00000118181,23295
ENSG00000111348,67383
ENSG00000121691,24392
ENSG00000026508,23876
ENSG00000034510,16887
ENSG00000158710,33562
ENSG00000109475,6962
ENSG00000004939,33514
ENSG00000150991,23942
ENSG00000122026,18961
ENSG00000204592,42272
ENSG00000133742,20208
ENSG00000119535,57673
ENSG00000130066,23162
ENSG00000125691,29399
